source,url,file
Fakku,https://www.fakku.net/hentai/devil-sisters-english,"anchira.to_1-1000/[Distance] Devil Sisters! (Comic X-Eros #37).yaml"
Fakku,https://www.fakku.net/hentai/stopover-english,"anchira.to_1-1000/[Doumou] Stopover (Comic Kairakuten 2015-10).yaml"
Fakku,https://www.fakku.net/hentai/the-one-who-fell-for-me-english,"anchira.to_1-1000/[Doumou] The One Who Fell for Me (Comic Kairakuten 2016-03).yaml"
Fakku,https://www.fakku.net/hentai/arousal-english,"anchira.to_1-1000/[E-musu Aki] Arousal (Comic X-Eros #38).yaml"
Fakku,https://www.fakku.net/hentai/cover-girls-comic-part-147-e-musu-aki-english,"anchira.to_1-1000/[E-musu Aki] Cover Girl's Comic Part 147꞉ E-musu Aki (Comic Kairakuten 2015-07).yaml"
Fakku,https://www.fakku.net/hentai/first-client-english,"anchira.to_1-1000/[E-musu Aki] First Client (Comic X-Eros #41).yaml"
Fakku,https://www.fakku.net/hentai/flesh-banquet-manor-english,"anchira.to_1-1000/[E-musu Aki] Flesh Banquet Manor (Comic X-Eros #31).yaml"
Fakku,https://www.fakku.net/hentai/hospitality-english,"anchira.to_1-1000/[E-musu Aki] Hospitality (Comic X-Eros #43).yaml"
Fakku,https://www.fakku.net/hentai/madame-yokos-tea-salon-english,"anchira.to_1-1000/[E-musu Aki] Madame Yoko's Tea Salon (Comic Kairakuten 2015-12).yaml"
Fakku,https://www.fakku.net/hentai/moist-pussy-girl-english,"anchira.to_1-1000/[E-musu Aki] Moist Pussy Girl (Comic Kairakuten 2016-11).yaml"
Fakku,https://www.fakku.net/hentai/my-big-brothers-girlfriend-english,"anchira.to_1-1000/[E-musu Aki] My Big Brother's Girlfriend (Comic X-Eros #49).yaml"
Fakku,https://www.fakku.net/hentai/my-staffs-gracious-indulgence-english,"anchira.to_1-1000/[E-musu Aki] My Staff's Gracious Indulgence (Comic Kairakuten 2016-09).yaml"
Fakku,https://www.fakku.net/hentai/obscene-madam-english,"anchira.to_1-1000/[E-musu Aki] Obscene Madam (Comic Kairakuten 2015-09).yaml"
Fakku,https://www.fakku.net/hentai/-1442448682,"anchira.to_1-1000/[E-musu Aki] Sister Complex (Comic Kairakuten 2015-08).yaml"
Fakku,https://www.fakku.net/hentai/summer-resort-english,"anchira.to_1-1000/[E-musu Aki] Summer Resort (Comic X-Eros #46).yaml"
Fakku,https://www.fakku.net/hentai/hard-maiden-english,"anchira.to_1-1000/[Ebi Shri] Hard Maiden (Comic X-Eros #36).yaml"
Fakku,https://www.fakku.net/hentai/at-her-mercy-english,"anchira.to_1-1000/[Edogawa Roman] At Her Mercy (Comic Shitsurakuten 2016-11).yaml"
Fakku,https://www.fakku.net/hentai/cute-complex-english,"anchira.to_1-1000/[Eguchi Jaws] Cute Complex (Comic Kairakuten 2016-03).yaml"
Fakku,https://www.fakku.net/hentai/how-to-get-a-kotatsu-snail-out-of-her-shell-english,"anchira.to_1-1000/[Eguchi Jaws] How to Get a Kotatsu Snail out of Her Shell (Comic Kairakuten 2016-06).yaml"
Fakku,https://www.fakku.net/hentai/rainy-day-english,"anchira.to_1-1000/[Eguchi Jaws] Rainy Day (Comic Kairakuten 2016-09).yaml"
Fakku,https://www.fakku.net/hentai/breeding-like-bunnies-english,"anchira.to_1-1000/[Ekakibit] Breeding Like Bunnies (Comic X-Eros #42).yaml"
Fakku,https://www.fakku.net/hentai/library-of-the-senses-english,"anchira.to_1-1000/[Ekakibit] Library of the Senses (Comic X-Eros #45).yaml"
Fakku,https://www.fakku.net/hentai/school-nurse-with-practical-skills-english,"anchira.to_1-1000/[Ekakibit] School Nurse with Practical Skills (Comic X-Eros #40).yaml"
Fakku,https://www.fakku.net/hentai/excursion-day-99-english,"anchira.to_1-1000/[F4U] Excursion Day 99 (Comic X-Eros #38).yaml"
Fakku,https://www.fakku.net/hentai/excursion-day-99-island-for-two-english,"anchira.to_1-1000/[F4U] Excursion Day 99 ~Island for Two~ (Comic X-Eros #42).yaml"
Fakku,https://www.fakku.net/hentai/excursion-day-99-virgin-drift-princess-english,"anchira.to_1-1000/[F4U] Excursion Day 99 ~Virgin Drift Princess~ (Comic X-Eros #40).yaml"
Fakku,https://www.fakku.net/hentai/mister-sex-english,"anchira.to_1-1000/[F4U] Mister Sex (Comic X-Eros #47).yaml"
Fakku,https://www.fakku.net/hentai/tale-of-a-couple-5-seconds-after-confession-english,"anchira.to_1-1000/[F4U] Tale of a Couple 5 Seconds After Confession (Comic X-Eros #35).yaml"
Fakku,https://www.fakku.net/hentai/the-truth-between-the-lies-english,"anchira.to_1-1000/[F4U] The Truth Between the Lies (Comic X-Eros #32).yaml"
Fakku,https://www.fakku.net/hentai/the-truth-is-were-couples-english,"anchira.to_1-1000/[F4U] The Truth Is, We're Couples (Comic X-Eros #30).yaml"
Fakku,https://www.fakku.net/hentai/i-wanna-know-english,"anchira.to_1-1000/[Fancy Feeling (woof)] I Wanna Know (FAKKU).yaml"
Fakku,https://www.fakku.net/hentai/docile-kitty-english,"anchira.to_1-1000/[fu-ta] Docile Kitty (Comic X-Eros #35).yaml"
