title,file
"Succubus Dream!","anchira.to_1-1000/[fu-ta] Succubus Dream! (Comic X-Eros #47).yaml"
"Cover's Comment Part 157: Fujimaru","anchira.to_1-1000/[Fujimaru] Cover's Comment Part 157꞉ Fujimaru (Comic Kairakuten 2016-05).yaml"
Grizzly,"anchira.to_1-1000/[Fujimaru] Grizzly (Comic Kairakuten 2016-03).yaml"
"Life Is a Battlefield","anchira.to_1-1000/[Fujimaru] Life Is a Battlefield (Comic Kairakuten 2016-06).yaml"
"LOVE with GOLD","anchira.to_1-1000/[Fujimaru] LOVE with GOLD (Comic Kairakuten 2015-07).yaml"
"LOVE with GOLD Illustration","anchira.to_1-1000/[Fujimaru] LOVE with GOLD Illustration (Comic Kairakuten 2015-07).yaml"
"Romantic Dust Shooters","anchira.to_1-1000/[Fujimaru] Romantic Dust Shooters (Comic Kairakuten 2016-01).yaml"
"This Is Love","anchira.to_1-1000/[Fujimaru] This Is Love (Comic Kairakuten 2016-10).yaml"
"Love Affair Decoy","anchira.to_1-1000/[Fujiyama] Love Affair Decoy (Comic X-Eros #44).yaml"
"Loving You More Than You Can Imagine","anchira.to_1-1000/[Fujiyama] Loving You More Than You Can Imagine (Comic X-Eros #41).yaml"
"Selfish Friends","anchira.to_1-1000/[Fukumaaya] Selfish Friends (Comic Shitsurakuten 2016-11).yaml"
"She's Always Got Room for Dessert","anchira.to_1-1000/[Fukumaaya] She's Always Got Room for Dessert (Comic Shitsurakuten 2016-07).yaml"
"The Secret of the Book Committee","anchira.to_1-1000/[Fukumaaya] The Secret of the Book Committee (Comic Shitsurakuten 2016-05).yaml"
"What They Won't Teach You in School","anchira.to_1-1000/[Fukumaaya] What They Won't Teach You in School (Comic Shitsurakuten 2016-09).yaml"
"X-Eros Girls Collection #32: Gomennasai","anchira.to_1-1000/[Gomennasai] X-Eros Girls Collection #32꞉ Gomennasai (Comic X-Eros #32).yaml"
"Urine Auditor Nukumizu-san","anchira.to_1-1000/[Gorgeous Takarada] Urine Auditor Nukumizu-san (Comic X-Eros #35).yaml"
"Cold Bitch Student Council President","anchira.to_1-1000/[Gujira] Cold Bitch Student Council President (Comic X-Eros #34).yaml"
"You Are Challenged by Kogal Takuha","anchira.to_1-1000/[Gujira] You Are Challenged by Kogal Takuha (Comic X-Eros #38).yaml"
"That Perky Summer Thing","anchira.to_1-1000/[Gunnousa] That Perky Summer Thing (Comic Kairakuten 2015-09).yaml"
"Examination Day","anchira.to_1-1000/[gy] Examination Day (FAKKU).yaml"
"Rebel Girl","anchira.to_1-1000/[gy] Rebel Girl (FAKKU).yaml"
"Red-Light Academy Chapter 1","anchira.to_1-1000/[gy] Red-Light Academy Chapter 1 (FAKKU).yaml"
"Red-Light Academy Chapter 2","anchira.to_1-1000/[gy] Red-Light Academy Chapter 2 (FAKKU).yaml"
"Red-Light Academy Chapter 3","anchira.to_1-1000/[gy] Red-Light Academy Chapter 3 (FAKKU).yaml"
"Red-Light Academy Chapter 4","anchira.to_1-1000/[gy] Red-Light Academy Chapter 4 (FAKKU).yaml"
"Shady Dealings Chapter 1","anchira.to_1-1000/[gy] Shady Dealings Chapter 1 (FAKKU).yaml"
"Shady Dealings Chapter 2","anchira.to_1-1000/[gy] Shady Dealings Chapter 2 (FAKKU).yaml"
"Shady Dealings Chapter 3","anchira.to_1-1000/[gy] Shady Dealings Chapter 3 (FAKKU).yaml"
"Shady Dealings Chapter 4","anchira.to_1-1000/[gy] Shady Dealings Chapter 4 (FAKKU).yaml"
"Since I'm Not Popular, I'm Going to Become an AV Idol!","anchira.to_1-1000/[gy] Since I'm Not Popular, I'm Going to Become an AV Idol! (FAKKU).yaml"
"The Lust of a Goddess","anchira.to_1-1000/[gy] The Lust of a Goddess (FAKKU).yaml"
Mushroom,"anchira.to_1-1000/[Hachiya Makoto] Mushroom (Comic Kairakuten 2016-08).yaml"
Olympics,"anchira.to_1-1000/[Hachiya Makoto] Olympics (Comic Kairakuten 2015-11).yaml"
"Product Wars","anchira.to_1-1000/[Hachiya Makoto] Product Wars (Comic Kairakuten 2016-02).yaml"
"Maiden Venus","anchira.to_1-1000/[Hakano Shinsir] Maiden Venus (Comic X-Eros #41).yaml"
"Pain & Tranquility atop a Cat's Tongue","anchira.to_1-1000/[Hakkyou Daioujou] Pain & Tranquility atop a Cat's Tongue (Comic X-Eros #32).yaml"
"Butler & Mistress Love Comedy","anchira.to_1-1000/[Hamao] Butler & Mistress Love Comedy (Comic Kairakuten 2016-02).yaml"
"Cover's Comment Part 154: Hamao","anchira.to_1-1000/[Hamao] Cover's Comment Part 154꞉ Hamao (Comic Kairakuten 2016-02).yaml"
"Cover's Comment Part 162: Hamao","anchira.to_1-1000/[Hamao] Cover's Comment Part 162꞉ Hamao (Comic Kairakuten 2016-10).yaml"
"Friday Night Fever","anchira.to_1-1000/[Hamao] Friday Night Fever (Comic Kairakuten 2016-06).yaml"
"Heart Floating on Air","anchira.to_1-1000/[Hamao] Heart Floating on Air (Comic X-Eros #43).yaml"
"Interlude Play","anchira.to_1-1000/[Hamao] Interlude Play (Comic Kairakuten 2015-11).yaml"
"Just for Tonight","anchira.to_1-1000/[Hamao] Just for Tonight (Comic Kairakuten 2016-05).yaml"
"Let's Do Something Nice!","anchira.to_1-1000/[Hamao] Let's Do Something Nice! (Comic Kairakuten 2015-08).yaml"
"Stay Gold","anchira.to_1-1000/[Hamao] Stay Gold (Comic Kairakuten 2016-11).yaml"
Craving,"anchira.to_1-1000/[Hardboiled Yoshiko] Craving (Comic Kairakuten 2016-10).yaml"
Obedient,"anchira.to_1-1000/[Hardboiled Yoshiko] Obedient (Comic Kairakuten 2015-11).yaml"
Promise,"anchira.to_1-1000/[Hardboiled Yoshiko] Promise (Comic Kairakuten 2016-04).yaml"
"Moka Latte","anchira.to_1-1000/[Harigane Shinshi] Moka Latte (Comic X-Eros #47).yaml"
"Amazon Pathfinding","anchira.to_1-1000/[Haru Yukiko] Amazon Pathfinding (Comic Shitsurakuten 2016-05).yaml"
"Fuckey Fuck Market","anchira.to_1-1000/[Haru Yukiko] Fuckey Fuck Market (Comic Shitsurakuten 2016-08).yaml"
"One Year Anniversary Grand Strategy","anchira.to_1-1000/[Haru Yukiko] One Year Anniversary Grand Strategy (Comic Shitsurakuten 2016-11).yaml"
"Secret Date Plan ♥","anchira.to_1-1000/[Henreader] Secret Date Plan ♥ (Comic X-Eros #37).yaml"
"8/20 ""Even So, Meruko"" Goes on Sale!!","anchira.to_1-1000/[Heriyama] 8⁄20 ＂Even So, Meruko＂ Goes on Sale!! (Comic X-Eros #45).yaml"
"A Spring Storm","anchira.to_1-1000/[Heriyama] A Spring Storm (Comic X-Eros #42).yaml"
"Conditioned Response","anchira.to_1-1000/[Heriyama] Conditioned Response (Comic X-Eros #34).yaml"
